COUNTY,STNAME,CTYNAME,tot_pop,fips,lat,long_,RUCA,ruca3gp,Smokers,pctobesity,CVDhosprateper1000bene,ruca2gp,lesshighschool,highschooldiploma,somecollegeandassociate,bachelorsandhigher,medianhouseholdinc,TotalCases,Male,years65,Blackpct,Poverty
1,Pennsylvania,Adams County,102811,42001,39.871403,-77.216103,2,Metropolitan,15.0533592,33.4,210.3,Metropolitan/Urban,11.4,40.5,25.7,22.4,62877,2,49.20582428,25.59259223,1.972551575,7.702483197
3,Pennsylvania,Allegheny County,1218452,42003,40.468098,-79.981674,1,Metropolitan,16.9855359,28.4,234.5,Metropolitan/Urban,5.7,27.8,25.8,40.7,59881,11,48.33148946,24.90290959,13.41316687,11.35842856
5,Pennsylvania,Armstrong County,65263,42005,40.816658,-79.462906,4,Micropolitan,15.2165451,35.7,240.6,Metropolitan/Urban,10.5,48,25.2,16.2,49436,0,49.8015721,28.68547263,0.919357063,9.066392903
7,Pennsylvania,Beaver County,164742,42007,40.682549,-80.349213,1,Metropolitan,14.88903051,29.8,240.6,Metropolitan/Urban,6.9,38.2,31.2,23.7,54823,3,48.56381493,27.79861845,6.385135545,10.96320307
9,Pennsylvania,Bedford County,48176,42009,40.005222,-78.489983,7,Rural and Small towns,15.80595257,30.4,254.6,"Low comuting micropolitan, Rural and Small towns",12.5,51.2,22,14.2,50257,0,49.81733643,29.59772501,0.689139821,10.39314181
11,Pennsylvania,Berks County,420152,42011,40.415707,-75.924576,1,Metropolitan,15.40738235,33.4,236.9,Metropolitan/Urban,13.5,37.2,24.7,24.5,62519,8,49.20600164,22.1469849,7.204297492,11.1297816
13,Pennsylvania,Blair County,122492,42013,40.479614,-78.349174,2,Metropolitan,16.8348472,30,236.4,Metropolitan/Urban,9.1,45.4,24.7,20.8,49244,0,48.96564674,27.12911864,2.00421252,14.00581262
15,Pennsylvania,Bradford County,60833,42015,41.788692,-76.515709,7,Rural and Small towns,17.23962829,31.9,224.3,"Low comuting micropolitan, Rural and Small towns",11.1,46.7,24.3,17.8,50978,0,49.57342232,27.41768448,0.826853846,12.32061546
17,Pennsylvania,Bucks County,628195,42017,40.336823,-75.108368,1,Metropolitan,11.83409229,27.5,183.7,Metropolitan/Urban,6.1,28.8,24.6,40.5,88538,13,49.09224047,24.1659039,4.384466607,5.627233582
19,Pennsylvania,Butler County,187888,42019,40.911526,-79.913513,3,Metropolitan,13.92485578,29.1,222.4,Metropolitan/Urban,5.4,33.2,26,35.4,67161,0,49.55984416,23.86847484,1.325789832,8.453440347
