UID,iso2,iso3,fips,code3,FIPS,FIPSSS,Admin2,Province_State,Country_Region,Lat,Long_,Combined_Key,cJan31,cFeb29,cMar31,cApr30,cMay31,cJun30,cJul31,cAug31,cSep30,cOct31,dJan31,dFeb29,dMar31,dApr30,dMay31,dJun30,dJul31,dAug31,dSep30,dOct31,Total_Deaths,Population,Poverty,Black_Percent,years65,Male,somecollegeassociate,Smokers,Metropolitan,Obesity,CVDHospitalization,Metropolitan
84042001,US,USA,42005,840,42001,42001,Adams,Pennsylvania,US,39.87140411,-77.21610347,"Adams, Pennsylvania, US",0,0,9,137,251,339,462,642,852,1179,0,0,0,4,8,12,20,23,26,31,124,102811,7.702483197,1.972551575,25.59259223,49.20582428,25.7,15.0533592,1,33.4,210.3,1
84042003,US,USA,42007,840,42003,42003,Allegheny,Pennsylvania,US,40.46809875,-79.98167747,"Allegheny, Pennsylvania, US",0,0,325,1289,1911,2760,8094,10347,12348,15796,0,0,2,94,163,183,230,313,361,419,1765,1218452,11.35842856,13.41316687,24.90290959,48.33148946,25.8,16.9855359,1,28.4,234.5,1
84042005,US,USA,42009,840,42005,42005,Armstrong,Pennsylvania,US,40.81665618,-79.46290811,"Armstrong, Pennsylvania, US",0,0,5,51,62,74,179,314,448,769,0,0,0,2,4,6,6,9,18,21,66,65263,9.066392903,0.919357063,28.68547263,49.8015721,25.2,15.2165451,0,35.7,240.6,0
84042007,US,USA,42011,840,42007,42007,Beaver,Pennsylvania,US,40.6825484,-80.34921611,"Beaver, Pennsylvania, US",0,0,52,405,590,669,1212,1611,1924,2325,0,0,1,65,73,78,88,96,122,140,663,164742,10.96320307,6.385135545,27.79861845,48.56381493,31.2,14.88903051,1,29.8,240.6,1
84042009,US,USA,42013,840,42009,42009,Bedford,Pennsylvania,US,40.00522157,-78.48998442,"Bedford, Pennsylvania, US",0,0,2,24,39,82,128,170,245,447,0,0,0,1,2,3,4,5,6,7,28,48176,10.39314181,0.689139821,29.59772501,49.81733643,22,15.80595257,0,30.4,254.6,0
84042011,US,USA,42015,840,42011,42011,Berks,Pennsylvania,US,40.41570541,-75.92457766,"Berks, Pennsylvania, US",0,0,110,2698,4061,4527,5152,6056,7186,9562,0,0,0,117,317,351,365,380,395,425,2350,420152,11.1297816,7.204297492,22.1469849,49.20600164,24.7,15.40738235,1,33.4,236.9,1
84042013,US,USA,42017,840,42013,42013,Blair,Pennsylvania,US,40.47961444,-78.34917412,"Blair, Pennsylvania, US",0,0,4,23,50,71,204,461,716,1376,0,0,0,0,1,1,3,11,18,32,66,122492,14.00581262,2.00421252,27.12911864,48.96564674,24.7,16.8348472,1,30,236.4,1
84042015,US,USA,42019,840,42015,42015,Bradford,Pennsylvania,US,41.78869215,-76.51570822,"Bradford, Pennsylvania, US",0,0,7,31,46,57,80,99,168,862,0,0,0,2,3,3,3,3,5,15,34,60833,12.32061546,0.826853846,27.41768448,49.57342232,24.3,17.23962829,0,31.9,224.3,0
84042017,US,USA,42021,840,42017,42017,Bucks,Pennsylvania,US,40.33682119,-75.10836643,"Bucks, Pennsylvania, US",0,0,288,2907,5082,5744,6902,7805,8893,10445,0,0,3,205,503,564,578,586,607,626,3672,628195,5.627233582,4.384466607,24.1659039,49.09224047,24.6,11.83409229,1,27.5,183.7,1
84042019,US,USA,42023,840,42019,42019,Butler,Pennsylvania,US,40.91152759,-79.91351055,"Butler, Pennsylvania, US",0,0,60,178,230,307,597,785,1074,1840,0,0,2,6,12,13,15,18,25,28,119,187888,8.453440347,1.325789832,23.86847484,49.55984416,26,13.92485578,1,29.1,222.4,1
